"","Yb173Di","barcode","type"
"185",39,"Yb172Di","beads"
"186",56,"Yb172Di","beads"
"187",41,"Yb172Di","beads"
"188",36,"Yb172Di","beads"
"189",2,"Yb171Di","beads"
"190",12,"Yb174Di","beads"
"191",2,"Yb171Di","beads"
"192",1096,"Yb173Di","beads"
"193",3,"Yb171Di","beads"
"194",1,"Yb174Di","beads"
"195",1076,"Yb173Di","beads"
"196",4,"Yb171Di","beads"
"197",3,"Yb174Di","beads"
"198",6,"Yb171Di","beads"
"199",2,"Yb174Di","beads"
"200",3,"Yb171Di","beads"
"201",1150,"Yb173Di","beads"
"202",4,"Yb171Di","beads"
"203",0,"Yb171Di","beads"
"204",0,"Yb171Di","beads"
"205",50,"Yb172Di","beads"
"206",0,"Yb171Di","beads"
"207",20,"Yb174Di","beads"
"208",7,"Yb171Di","beads"
"209",44,"Yb172Di","beads"
"210",878,"Yb173Di","beads"
"211",6,"Yb174Di","beads"
"212",1,"Yb171Di","beads"
"213",9,"Yb171Di","beads"
"214",1252,"Yb173Di","beads"
"215",0,"Yb176Di","beads"
"216",1056,"Yb173Di","beads"
"217",1630,"Yb173Di","beads"
"218",3,"Yb174Di","beads"
"219",0,"Yb174Di","beads"
"220",0,"Yb171Di","beads"
"221",9,"Yb176Di","beads"
"222",12,"Yb174Di","beads"
"223",66,"Yb172Di","beads"
"224",1,"Yb171Di","beads"
"225",1252,"Yb173Di","beads"
"226",0,"Yb174Di","beads"
"227",1068,"Yb173Di","beads"
"228",1715,"Yb173Di","beads"
"229",3,"Yb171Di","beads"
"230",4,"Yb174Di","beads"
"231",1,"Yb174Di","beads"
"232",41,"Yb172Di","beads"
"233",0,"Yb174Di","beads"
"234",3,"Yb174Di","beads"
"235",1170,"Yb173Di","beads"
"236",0,"Yb176Di","beads"
"237",2,"Yb174Di","beads"
"238",8,"Yb174Di","beads"
"239",6,"Yb176Di","beads"
"240",1094,"Yb173Di","beads"
"241",1092,"Yb173Di","beads"
"242",2,"Yb176Di","beads"
"243",1179,"Yb173Di","beads"
"244",1188,"Yb173Di","beads"
"245",42,"Yb172Di","beads"
"246",5,"Yb176Di","beads"
"247",1171,"Yb173Di","beads"
"248",17,"Yb174Di","beads"
"249",4,"Yb176Di","beads"
"250",6,"Yb176Di","beads"
"251",5,"Yb174Di","beads"
"252",2,"Yb171Di","beads"
"253",2,"Yb174Di","beads"
"254",7,"Yb174Di","beads"
"255",6,"Yb171Di","beads"
"256",0,"Yb174Di","beads"
"257",2,"Yb174Di","beads"
"258",1145,"Yb173Di","beads"
"259",4,"Yb176Di","beads"
"260",1,"Yb174Di","beads"
"261",1,"Yb171Di","beads"
"262",68,"Yb172Di","beads"
"263",1256,"Yb173Di","beads"
"264",1150,"Yb173Di","beads"
"265",91,"Yb172Di","beads"
"266",18,"Yb174Di","beads"
"267",0,"Yb174Di","beads"
"268",7,"Yb176Di","beads"
"269",9,"Yb174Di","beads"
"270",6,"Yb176Di","beads"
"271",2,"Yb171Di","beads"
"272",0,"Yb176Di","beads"
"273",4,"Yb176Di","beads"
"274",11,"Yb174Di","beads"
